l[deg]     b[deg]     dist[kpc] edist[kpc] pml[masyr] epml[masyr] pmb[masyr] epmb[masyr] pmlpmbcorr[] vlos[kms] evlos[kms] apogee[0,1] component[0,1] feh[dex] alpha[dex] age[]   index   apogeeID            
-33.853683   6.678944  6.5058  0.3545 -6.4549  0.0287  0.0141  0.0388 -0.2058  -79.9053    0.1664  1.0000 -99.0000  0.0773  0.0624 -99.0000 143.0000 2M15192378-4924238  
-30.287635  12.111555  7.0531  0.3625 -5.6669  0.0309  0.1188  0.0323 -0.2542  -91.0117    0.4335  1.0000 -99.0000 -0.4301  0.3062 -99.0000 145.0000 2M15192486-4256063  
-30.050134  12.426771  7.5394  0.3061 -7.7053  0.0227  0.4410  0.0202 -0.1853  -53.8297    0.4317  1.0000 -99.0000 -0.5860  0.3497 -99.0000 146.0000 2M15193181-4232392  
-29.992367  12.497343  7.7738  0.3499 -7.5036  0.0398  0.6357  0.0320 -0.3598  -24.3706    0.3932  1.0000 -99.0000 -0.5891  0.3259 -99.0000 147.0000 2M15193455-4227153  
-30.448516  11.785684  9.4364  0.4542 -1.4316  0.0336 -2.2931  0.0406 -0.1373  -89.7252    0.3938  1.0000 -99.0000 -0.3290  0.1355 -99.0000 148.0000 2M15194024-4317381  
-30.388789  11.867021  5.2824  0.3251 -4.7163  0.0153 -1.2301  0.0216 -0.0449  -79.1871    0.7790  1.0000 -99.0000 -0.2858  0.2996 -99.0000 149.0000 2M15194167-4311379  
-29.734469  12.833953  5.8339  0.2282 -6.0541  0.0205  1.1704  0.0233 -0.1452  -54.6743    0.2697  1.0000 -99.0000 -0.2593  0.2771 -99.0000 150.0000 2M15194271-4202052  
-34.226613   6.000637  6.6349  0.2860 -7.0938  0.0143 -1.8892  0.0258 -0.1092  -22.4063    0.2978  1.0000 -99.0000 -0.3941  0.3165 -99.0000 151.0000 2M15194373-5010398  
-30.194941  12.143754  9.2767  0.4762 -5.9992  0.0215  1.0516  0.0220 -0.2532  -85.5442    0.3287  1.0000 -99.0000 -0.7534  0.3638 -99.0000 152.0000 2M15194390-4251305  
-33.958977   6.396965  6.1859  0.2391 -6.1351  0.0262 -1.6610  0.0302 -0.2193    0.4314    0.2985  1.0000 -99.0000 -0.1240  0.1889 -99.0000 154.0000 2M15194748-4942017  
-34.010505   6.314783  7.5296  0.3201 -8.3181  0.0260 -0.1404  0.0386 -0.2024  -41.0837    0.2327  1.0000 -99.0000 -0.5081  0.2765 -99.0000 156.0000 2M15194795-4947502  
-29.952912  12.460378  6.6274  0.3373 -3.2056  0.0226  1.0387  0.0228 -0.2554 -105.6931    0.3888  1.0000 -99.0000 -0.2313  0.2243 -99.0000 158.0000 2M15195162-4227504  
-34.393003   5.696923  5.8566  0.3907 -8.5965  0.0160 -0.7988  0.0255 -0.0600  -18.9392    0.4308  1.0000 -99.0000  0.2655  0.0404 -99.0000 159.0000 2M15195296-5031218  
-33.759752   6.648394  6.7350  0.3884 -7.2989  0.0214 -4.3586  0.0230 -0.1436  -90.4081    3.2060  1.0000 -99.0000 -0.6691  0.2170 -99.0000 161.0000 2M15195881-4922549  
-30.345158  11.832375  5.8506  0.2737 -6.2611  0.0299  0.1358  0.0423 -0.0317  -38.6554    0.2981  1.0000 -99.0000 -0.1767  0.2581 -99.0000 162.0000 2M15195969-4311578  
-29.717538  12.733917  7.2144  0.3997 -10.7079  0.0294 -0.3860  0.0310 -0.2092   89.1668    0.4122  1.0000 -99.0000 -0.6370  0.3511 -99.0000 165.0000 2M15200499-4206330  
-29.967352  12.358500  5.0035  0.0948 -7.3111  0.0222 -0.0279  0.0296 -0.1442 -114.2879    0.3538  1.0000 -99.0000 -0.4268  0.3403 -99.0000 166.0000 2M15200604-4233245  
-30.285936  11.871950  6.1017  0.2188 -6.3084  0.0189 -0.1333  0.0228 -0.1066  -99.4692    0.5512  1.0000 -99.0000 -0.3405  0.3115 -99.0000 167.0000 2M15200847-4308041  
-29.986809  12.273150  6.8376  0.4807 -7.7097  0.0328 -0.8695  0.0398 -0.2746  -91.2255    0.2604  1.0000 -99.0000 -0.6279  0.3481 -99.0000 169.0000 2M15201618-4238187  
-30.011335  12.225041  6.0943  0.1067 -5.5002  0.0291 -1.8797  0.0315 -0.1575 -142.7036    0.4039  1.0000 -99.0000 -0.2699  0.2840 -99.0000 170.0000 2M15201830-4241308  
-34.049735   6.076358  5.4200  0.2493 -9.0385  0.0137 -1.3451  0.0258 -0.0662  -84.9026    0.2636  1.0000 -99.0000 -0.1773  0.1793 -99.0000 171.0000 2M15202378-5001082  
-29.950706  12.262819  6.4501  0.1327 -3.2928  0.0302 -0.0277  0.0358 -0.2823   70.3775    0.3326  1.0000 -99.0000 -0.5787  0.3830 -99.0000 172.0000 2M15202764-4237399  
-34.165356   5.850312  5.9761  0.3055 -8.1370  0.0198  1.8119  0.0376 -0.0312    2.4863    0.2757  1.0000 -99.0000  0.0650  0.1233 -99.0000 173.0000 2M15203344-5016165  
-33.926388   6.202926  8.6744  0.3662 -4.1506  0.0231  0.7470  0.0322 -0.1868 -101.0460    0.1814  1.0000 -99.0000 -0.5710  0.2830 -99.0000 175.0000 2M15203663-4950460  
-34.303254   5.614350  7.4978  0.5163 -6.9596  0.0149  1.7277  0.0255 -0.1081  -59.2583    0.2563  1.0000 -99.0000 -0.2345  0.2589 -99.0000 176.0000 2M15203817-5032381  
-30.185089  11.849319  6.2093  0.2817 -7.3373  0.0149  3.6077  0.0187 -0.1334   -0.1267    0.2658  1.0000 -99.0000 -0.4420  0.3233 -99.0000 177.0000 2M15203966-4305567  
-30.252102  11.690664  5.0313  0.4566 -9.7177  0.0315 -0.0165  0.0327 -0.1614  -87.8740    0.3508  1.0000 -99.0000 -0.5173  0.3363 -99.0000 179.0000 2M15205044-4316033  
